platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type,start_date,end_date,year,week_number
twitch,betboom_cs_a,betboom_cs_a,75910196,563756,34599,8730,3875,7449,2410506,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/1be891dd-4fde-472f-a0c5-36360c696edc-profile_image-300x300.png,RU,ru,partner,Organization,2024-12-02,2024-12-08,2024,49
twitch,ninja,Ninja,19571641,559674,33441,14290,2350,25132,,Fortnite,https://static-cdn.jtvnw.net/jtv_user_pictures/90d40495-f467-4911-9035-72d8d10a49c5-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,ben_,Ben_,27369897,558084,19722,7095,4720,10573,,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/86091aae-865f-431e-8c1a-203f53211ba6-profile_image-300x300.jpg,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,alanzoka,alanzoka,38244180,552538,31157,14934,2220,7630,,Microsoft Flight Simulator 2024,https://static-cdn.jtvnw.net/jtv_user_pictures/64d44235-1dee-4bca-95da-bee1ee96eea3-profile_image-300x300.png,BR,pt,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,ratirl,RATIRL,57292293,539473,6418,3231,10020,1309,,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/ratirl-profile_image-9721e084b66a697e-300x300.png,SE,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,clix,Clix,233300375,535971,45551,12514,2570,16541,970611,Fortnite,https://static-cdn.jtvnw.net/jtv_user_pictures/6f4129f6-3750-4c02-b7c8-c88a05064129-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,lirik,LIRIK,23161357,524586,25524,13198,2385,452,,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/38e925fc-0b07-4e1e-82e2-6639e01344f3-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,therealmarzaa,TheRealMarzaa,89600394,520383,36413,9157,3410,5719,2562441,Kings League,https://static-cdn.jtvnw.net/jtv_user_pictures/b9dd0e37-11f5-47a5-90be-605528949612-profile_image-300x300.png,IT,it,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,kamito_jp,Kamito_JP,214410049,516843,9777,5665,5475,8028,,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/99575024-410c-46ad-a452-0e8bbb3eee15-profile_image-300x300.png,JP,ja,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,kamet0,Kamet0,27115917,514807,53646,16519,1870,2301,,Dofus,https://static-cdn.jtvnw.net/jtv_user_pictures/9e12862d-a8d0-4df2-81aa-e2241022dc98-profile_image-300x300.jpg,FR,fr,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,chess24,chess24,75322837,512314,50008,18352,1675,4626,3089967,Chess,https://static-cdn.jtvnw.net/jtv_user_pictures/28d79a6a-6543-4ed9-9fe4-7d9e612b418c-profile_image-300x300.png,US,en,partner,Organization,2024-12-02,2024-12-08,2024,49
twitch,forsen,forsen,22484632,506660,14524,8800,3455,1528,381809,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-300x300.png,SE,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,noway4u_sir,NoWay4u_Sir,85397463,498985,20299,11976,2500,1412,1194046,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-300x300.png,DE,de,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,flats,Flats,141429177,484334,16407,7802,3725,14447,,Marvel Rivals,https://static-cdn.jtvnw.net/jtv_user_pictures/6f398651-334b-4cfc-a37c-29c066584da8-profile_image-300x300.png,US,en,partner,Male,2024-12-02,2024-12-08,2024,49
twitch,revedtv,RevedTV,97123979,475026,107422,75005,380,12934,1244077,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/a68d7efe-3b2a-4de3-9bc7-c8a309613b29-profile_image-300x300.png,DE,de,partner,Female,2024-12-02,2024-12-08,2024,49
